있다	To be
치다	(a storm, strong wind, rain, lightning) сильно дуть; хлестать; 폭풍우가 ~
치다	 принимать в расчёт; примерно (приблизительно) подсчитыватьe 셈을 맞추다
치르다	Pay off, pay one’s bill
치우다	Straighten up, tidy, remove
켜다	пилить; играть; зажигать лампу; включать 성냥을 ~
켜지다	To become turned on
키우다	To raise, bring up, rear
타고나다	Be born, gifted/endowed with
타다	Ride (bus) 버스에 ~
태우다	возить; подвозить; подсаживать;  차에 ~
타다	Burn, blaze (firewood) 장작이 ~
태우다	1. сжигать; выжигать; зажигать; воспламенять; терзать 쓰레기를 ~
타오르다	Blaze, light up
타다	Put in, mix, dissolve 물에 ~
타다	Get, receive, take your share of the money (회사에서 월급을 타다) 월급을 ~
태어나다	To be born, see the light of day
터뜨리다	Break, burst,explode
터지다	лопаться; взрываться; раскалываться
털다	стряхивать; вытряхивать; выбивать; смета
튀기다	To fry; splash, splatter 물방울을 ~
튀다	отскакивать; трескаться; лопаться сбежать
튀어나오다	Jump out, spring out
트이다	Get cleared out, open up
틀다	крутить; закручивать; вить; собирать; включать; трепать; перечить; мешать
틀리다	To be turned, warped 2) проваливаться; быть ошибочным (неправильным) 답이 ~
파다	To dig
팔다	To sell
팔리다	To be in demand, to be sold
퍼지다	Spread out, get broader
펴내다	Publish, bring out in print
펴다	Spread out, unfold
펼쳐지다	Stretch, extend away
푸다	Dip out, bail out
풀다	Untie, loosen ; to melt into
풀리다	развязываться; распутываться
풀어지다	To get loose; to turn soft (noodles)
품다	носить за пазухой; обнимать; прижимать к груди; таить в душе что;  가슴에 ~
피다	To bloom ( a flower ~) 꽃이 ~
피우다	разжигать (огонь); топить (печь); поднимать (возню); курить; проявлять (усердие); цвести; издавать; распространять (запах)
해내다	To accomplish, achieve, carry through
헤매다	бродить; шататься; скитаться
헤아리다	Consider, weigh, ponder, consider
헤어지다	расставаться с кем; разлучаться с кем
훔치다	To steal 물건을 ~
흐려지다	Get cloudy, overcast
흐리다	Be muddy, cloudy ;  with a tint of 물을 ~
흔들다	Shake, sway
흔들리다	Shake, swing,rock,tremble
흐르다	Flow, stream
흘러가다	flow,run,drift along
흘러나오다	Flow out, run, effuse
흘러내리다	Run (stream,pour) down
흘리다	spill,shed (tears,blood)
흩어지다	Scatter about
힘들어하다	To be exacting, tolling
힘쓰다	прилагать старания (усилия); стараться
하다	To do
슬퍼하다	sorrow,feel sad
같이하다	вместе делать, разделять
걱정되다	To become worried
걱정하다	To worry or  be anxious
괴로워하다	To distress or  trouble
구경하다	To watch or  enjoy watching
